url,name,language
https://www.lyngsat.com/providers/br/Rede-Massa.html,"Rede Massa",
https://www.lyngsat.com/providers/br/Rede-Pampa-de-Radios.html,"Rede Pampa de Rádios",
https://www.lyngsat.com/providers/br/SBT-Rio.html,"SBT Rio",
https://www.lyngsat.com/providers/br/SIC-TV.html,"SIC TV",
https://www.lyngsat.com/providers/br/TV-A-Critica.html,"TV A Crítica",
https://www.lyngsat.com/providers/br/TV-Alterosa.html,"TV Alterosa",
https://www.lyngsat.com/providers/br/TV-Antena-10.html,"TV Antena 10",
https://www.lyngsat.com/providers/br/TV-Aparecida.html,"TV Aparecida",
https://www.lyngsat.com/providers/br/TV-Assembleia-Piaui.html,"TV Assembléia Piauí",
https://www.lyngsat.com/providers/br/TV-Barriga-Verde.html,"TV Barriga Verde",
https://www.lyngsat.com/providers/br/TV-Cancao-Nova.html,"TV Canção Nova",
https://www.lyngsat.com/providers/br/TV-Cidade-Fortaleza.html,"TV Cidade Fortaleza",
https://www.lyngsat.com/providers/br/TV-Cidade-Verde-Piaui.html,"TV Cidade Verde Piauí",
https://www.lyngsat.com/providers/br/TV-Correio.html,"TV Correio",
https://www.lyngsat.com/providers/br/TV-Cultura-do-Para.html,"TV Cultura do Pará",
https://www.lyngsat.com/providers/br/TV-Encontro-das-Aguas.html,"TV Encontro das Águas",
https://www.lyngsat.com/providers/br/TV-Gazeta-Alagoas.html,"TV Gazeta Alagoas",
https://www.lyngsat.com/providers/br/TV-Gazeta-Sao-Paulo.html,"TV Gazeta São Paulo",
https://www.lyngsat.com/providers/br/TV-Guararapes.html,"TV Guararapes",
https://www.lyngsat.com/providers/br/TV-Jangadeiro.html,"TV Jangadeiro",
https://www.lyngsat.com/providers/br/TV-Mais-Familia.html,"TV Mais Família",
https://www.lyngsat.com/providers/br/TV-Mirante.html,"TV Mirante",
https://www.lyngsat.com/providers/br/TV-Pai-Eterno.html,"TV Pai Eterno",
https://www.lyngsat.com/providers/br/TV-Pampa.html,"TV Pampa",
https://www.lyngsat.com/providers/br/TV-PE.html,"TV PE",
https://www.lyngsat.com/providers/br/TV-Serra-Dourada.html,"TV Serra Dourada",
https://www.lyngsat.com/providers/br/TV-Sul-Bahia.html,"TV Sul Bahia",
https://www.lyngsat.com/providers/br/TV-Taroba-Cascavel.html,"TV Tarobá Cascavel",
https://www.lyngsat.com/providers/br/TV-Thathi-Campinas.html,"TV Thathi Campinas",
https://www.lyngsat.com/providers/br/TV-Thathi-Vale.html,"TV Thathi Vale",
https://www.lyngsat.com/providers/br/TV-Tropical.html,"TV Tropical",
https://www.lyngsat.com/providers/br/Woohoo.html,Woohoo,
https://www.lyngsat.com/providers/bt/BBS.html,BBS,
https://www.lyngsat.com/providers/ca/GEM-Group.html,"GEM Group",
https://www.lyngsat.com/providers/cl/Teletrak.html,Teletrak,
