url,name,beam,frequency,symbol_rate,forward_error_correction,video_encoding,language,encryption,ch_type
https://www.lyngsat.com/radiochannels/br/Radio-Cidade-Verde-935.html,Radio Cidade Verde 93.5,West hemi,4058 L,5000,6-May,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Radio-Clube-do-Para.html,Rádio Clube do Pará,None,4014 H,4166,4-Mar,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Radio-Continental.html,Rádio Continental,West hemi,4045 R,2500,3-Feb,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Radio-Eldorado.html,Rádio Eldorado,West hemi,4045 R,2500,3-Feb,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Radio-Encontro-das-Aguas.html,Rádio Encontro das Águas,Brazil C,3925 H,4665,6-May,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Radio-Globo-Rio-de-Janeiro.html,Rádio Globo Rio de Janeiro,South America,4012 V,22860,5-Apr,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Radio-Grenal.html,Rádio Grenal,West hemi,4045 R,2500,3-Feb,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Radio-Imaculada-Conceicao.html,Rádio Imaculada Conceição,Brazil C,4077 V,800,4-Mar,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Radio-Lideranca.html,Rádio Liderança,West hemi,4075 R,2500,3-Feb,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Radio-Pampa.html,Rádio Pampa,West hemi,4045 R,2500,3-Feb,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Radio-Pentecostal-Deus-e-Amor.html,Rádio Pentecostal Deus é Amor,Americas C,4192 H,2075,4-Mar,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Radio-Relogio.html,Rádio Relógio,Americas & Europe,4120 H,4167,5-Mar,,Por,,radio
https://www.lyngsat.com/radiochannels/br/RBC-Radio.html,RBC Rádio,None,3954 V,3413,3-Feb,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Rede-Nativa.html,Rede Nativa,South America,3854 H,7500,4-Mar,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Rede-Serra-Dourada-Itapaci.html,Rede Serra Dourada Itapaci,South America,3815 H,3600,4-Mar,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Rede-Serra-Dourada-Sao-Simao.html,Rede Serra Dourada São Simão,South America,3815 H,3600,4-Mar,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Rede-Serra-Dourada.html,Rede Serra Dourada,South America,3815 H,3600,4-Mar,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Sound-Anos-60.html,Sound! Anos 60,None,10722 H,30000,4-Mar,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Sound-Blues.html,Sound! Blues,None,10722 H,30000,4-Mar,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Sound-Romanticas.html,Sound! Românticas,None,10722 H,30000,4-Mar,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Super-Rede-Boa-Vontade-1230-AM.html,Super Rede Boa Vontade 1230 AM,South America,3868 V,4833,6-May,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Torres-FM.html,Torres FM,West hemi,4045 R,2500,3-Feb,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Tramandai-FM.html,Tramandaí FM,West hemi,4045 R,2500,3-Feb,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Tua-Radio.html,Tua Rádio,South America,3887 H,740,4-Mar,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Vila-Real-FM.html,Vila Real FM,South America,3770 V,4166,4-Mar,,Por,,radio
https://www.lyngsat.com/radiochannels/br/Xangri-la-FM.html,Xangri-lá FM,West hemi,4045 R,2500,3-Feb,,Por,,radio
https://www.lyngsat.com/radiochannels/bt/BBS-Radio-1.html,BBS Radio 1,None,11326 V,9000,4-Mar,,,,radio
https://www.lyngsat.com/radiochannels/bt/BBS-Radio-2.html,BBS Radio 2,None,11232 V,4444,6-May,,,,radio
https://www.lyngsat.com/radiochannels/bt/Kuzoo-FM-104.html,Kuzoo FM 104,None,11232 V,4444,6-May,,,,radio
https://www.lyngsat.com/radiochannels/bt/Kuzoo-FM-105.html,Kuzoo FM 105,None,11232 V,4444,6-May,,Eng,,radio
https://www.lyngsat.com/radiochannels/cg/Radio-Congo.html,Radio Congo,C,3977 R,3410,3-Feb,,Fre,,radio
https://www.lyngsat.com/radiochannels/ci/Alpha-Blondy-FM.html,Alpha Blondy FM,Sub-Sahara Africa,10804 H,30000,3-Feb,,Fre,,radio
https://www.lyngsat.com/radiochannels/ci/Radio-Al-Bayane.html,Radio Al Bayane,EMEA,3934 L,27500,8-Jul,,Fre,,radio
https://www.lyngsat.com/radiochannels/ci/Radio-Cote-dIvoire.html,Radio Côte d'Ivoire,East hemi,3749 L,PLP 5,,,Fre,,radio
https://www.lyngsat.com/radiochannels/cl/ADN-971.html,ADN 97.1,0,12350 V,30000,2-Jan,,Spa,,radio
https://www.lyngsat.com/radiochannels/cl/Concierto.html,Concierto,0,12270 V,30000,3-Feb,,Spa,,radio
https://www.lyngsat.com/radiochannels/cl/Corazon.html,Corazón,0,12270 V,30000,3-Feb,,Spa,,radio
https://www.lyngsat.com/radiochannels/cl/Duna-897.html,Duna 89.7,0,12270 V,30000,3-Feb,,Spa,,radio
https://www.lyngsat.com/radiochannels/cl/El-Conquistador-FM-Red-Norte.html,El Conquistador FM Red Norte,0,12270 V,30000,3-Feb,,Spa,,radio
https://www.lyngsat.com/radiochannels/cl/El-Conquistador-FM.html,El Conquistador FM,0,12270 V,30000,3-Feb,,Spa,,radio
https://www.lyngsat.com/radiochannels/cl/FM-Dos.html,FM Dos,0,12270 V,30000,3-Feb,,Spa,,radio
https://www.lyngsat.com/radiochannels/cl/Futuro.html,Futuro,0,12270 V,30000,3-Feb,,Spa,,radio
https://www.lyngsat.com/radiochannels/cl/Pudahuel-FM.html,Pudahuel FM,0,12270 V,30000,3-Feb,,Spa,,radio
