satellite_id,channel_id
https://www.lyngsat.com/tracker/Arabsat-5C.html,https://www.lyngsat.com/radiochannels/ae/Sharjah-Radio.html
https://www.lyngsat.com/tracker/Al-Yah-1.html,https://www.lyngsat.com/radiochannels/af/Afghanistan-National-Radio.html
https://www.lyngsat.com/tracker/Al-Yah-1.html,https://www.lyngsat.com/radiochannels/af/Arakozia-FM.html
https://www.lyngsat.com/tracker/Al-Yah-1.html,https://www.lyngsat.com/radiochannels/af/Arezo-Radio.html
https://www.lyngsat.com/tracker/Al-Yah-1.html,https://www.lyngsat.com/radiochannels/af/Ariana-FM.html
https://www.lyngsat.com/tracker/Al-Yah-1.html,https://www.lyngsat.com/radiochannels/af/Arman-FM.html
https://www.lyngsat.com/tracker/TurkmenAlem-MonacoSat.html,https://www.lyngsat.com/radiochannels/af/Radio-Jawanan.html
https://www.lyngsat.com/tracker/Al-Yah-1.html,https://www.lyngsat.com/radiochannels/af/Radio-Killid-Kabul.html
https://www.lyngsat.com/tracker/Al-Yah-1.html,https://www.lyngsat.com/radiochannels/af/Radio-Nawa-FM.html
https://www.lyngsat.com/tracker/Al-Yah-1.html,https://www.lyngsat.com/radiochannels/af/RTA-Education-Radio.html
https://www.lyngsat.com/tracker/Al-Yah-1.html,https://www.lyngsat.com/radiochannels/af/RTA-Taranum-Radio.html
https://www.lyngsat.com/tracker/Al-Yah-1.html,https://www.lyngsat.com/radiochannels/af/Sabawoon-Radi.html
https://www.lyngsat.com/tracker/Al-Yah-1.html,https://www.lyngsat.com/radiochannels/af/Salam-Watandar.html
https://www.lyngsat.com/tracker/Al-Yah-1.html,https://www.lyngsat.com/radiochannels/af/Shamshad-FM.html
https://www.lyngsat.com/tracker/Al-Yah-1.html,https://www.lyngsat.com/radiochannels/af/Voice-of-Sharia.html
https://www.lyngsat.com/tracker/Al-Yah-1.html,https://www.lyngsat.com/radiochannels/af/Zhwandoon-Radio.html
https://www.lyngsat.com/tracker/Eutelsat-16A.html,https://www.lyngsat.com/radiochannels/al/My-Music-Radio.html
https://www.lyngsat.com/tracker/Eutelsat-16A.html,https://www.lyngsat.com/radiochannels/al/Top-Albania-Radio.html
https://www.lyngsat.com/tracker/Eutelsat-16A.html,https://www.lyngsat.com/radiochannels/al/Top-Gold-Radio.html
https://www.lyngsat.com/tracker/Eutelsat-70B.html,https://www.lyngsat.com/radiochannels/am/Public-Radio-of-Armenia.html
https://www.lyngsat.com/tracker/Eutelsat-70B.html,https://www.lyngsat.com/radiochannels/am/Radio-Arevik.html
https://www.lyngsat.com/tracker/Eutelsat-70B.html,https://www.lyngsat.com/radiochannels/am/Yerevan-FM.html
https://www.lyngsat.com/tracker/Intelsat-34.html,https://www.lyngsat.com/radiochannels/ar/Aspen-1015.html
https://www.lyngsat.com/tracker/Intelsat-34.html,https://www.lyngsat.com/radiochannels/ar/Aspen-1023.html
https://www.lyngsat.com/tracker/Arsat-2.html,https://www.lyngsat.com/radiochannels/ar/Cadena-3.html
https://www.lyngsat.com/tracker/Arsat-2.html,https://www.lyngsat.com/radiochannels/ar/La-100.html
